,id,expression_code,category_code,expression_content,property_code,parent_expression_code,attributes,expression_level,serial_number,create_user,create_time,modify_user,modify_time,del_stat,version_no
0,1,1095110230001007,1095110200000008,竞争对手,109511023000000b,,,0,4,system_user,2024-01-11 16:27:54,system_user,2025-04-08 15:59:21,1,1
1,1182,1066030000d01003,105503000000000a,发生时间,1065030000d0000b,1065030000d0000b,,1,5,admin,2024-01-16 15:51:08,admin,2025-03-06 14:42:38,1,0
2,1183,1066030000d0200c,105503000000000a,开始时间,1065030000d0000b,1065030000d0000b,,1,5,admin,2024-01-16 15:52:19,system_user,2025-03-06 14:42:38,1,0
3,1184,1066030000d03008,105503000000000a,结束时间,1065030000d0000b,1065030000d0000b,,1,5,admin,2024-01-16 15:52:31,system_user,2025-03-06 14:42:38,1,0
4,1185,1066030000d04004,105503000000000a,创建时间,1065030000d0000b,1065030000d0000b,,1,5,admin,2024-01-16 15:52:47,system_user,2025-03-06 14:42:38,1,0
5,1186,1066030000d05000,105503000000000a,截止时间,1065030000d0000b,1065030000d0000b,,1,5,admin,2024-01-16 15:52:58,system_user,2025-03-06 14:42:38,1,0
6,1187,1066030000d06009,105503000000000a,发送时间,1065030000d0000b,1065030000d0000b,,1,5,admin,2024-01-16 15:53:10,system_user,2025-03-06 14:42:38,1,0
7,1188,1066030000d07005,105503000000000a,办结时间,1065030000d0000b,1065030000d0000b,,1,5,admin,2024-01-16 15:53:20,system_user,2025-03-06 14:42:38,1,0
8,1189,106602000140100a,1055020000000009,经度,1065020001400005,1065020001400005,,1,5,admin,2024-01-16 16:03:20,system_user,2025-03-06 14:42:38,1,0
9,1190,1066020001402006,1055020000000009,纬度,1065020001400005,1065020001400005,,1,5,admin,2024-01-16 16:03:29,system_user,2025-03-06 14:42:38,1,0
10,1191,1066020001403002,1055020000000009,海拔,1065020001400005,1065020001400005,,1,5,admin,2024-01-16 16:03:37,system_user,2025-03-06 14:42:38,1,0
11,1192,106602000140400b,1055020000000009,经纬度,1065020001400005,1065020001400005,,1,5,admin,2024-01-16 16:03:46,system_user,2025-03-06 14:42:38,1,0
12,1193,1066020001405007,1055020000000009,经纬度序列,1065020001400005,1065020001400005,,1,5,admin,2024-01-16 16:03:55,system_user,2025-03-06 14:42:38,1,0
13,1194,1066020001406003,1055020000000009,外包边界,1065020001400005,1065020001400005,,1,5,admin,2024-01-16 16:04:12,system_user,2025-03-06 14:42:38,1,0
14,2231,10a6110100203009,1095110100000005,结束时间,10a511010020000c,10a511010020000c,,1,5,system_user,2024-01-16 18:32:55,admin,2025-03-06 14:42:38,1,0
15,2232,10a6110100202000,1095110100000005,开始时间,10a511010020000c,10a511010020000c,,1,5,system_user,2024-01-16 18:32:55,admin,2025-03-06 14:42:38,1,0
16,2233,10a6110100201004,1095110100000005,发生时间,10a511010020000c,10a511010020000c,,1,5,system_user,2024-01-16 18:32:55,admin,2025-03-06 14:42:38,1,0
17,2238,10a611020020300c,1095110200000008,结束时间,10a5110200200002,10a5110200200002,,1,5,system_user,2024-01-16 18:32:55,admin,2025-03-06 14:42:38,1,0
18,2239,10a6110200202003,1095110200000008,开始时间,10a5110200200002,10a5110200200002,,1,5,system_user,2024-01-16 18:32:55,admin,2025-03-06 14:42:38,1,0
19,2240,10a6110200201007,1095110200000008,发生时间,10a5110200200002,10a5110200200002,,1,5,system_user,2024-01-16 18:32:55,admin,2025-03-06 14:42:38,1,0
20,2245,10a6110300203002,109511030000000b,结束时间,10a5110300200005,10a5110300200005,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
21,2246,10a6110300202006,109511030000000b,开始时间,10a5110300200005,10a5110300200005,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
22,2247,10a611030020100a,109511030000000b,发生时间,10a5110300200005,10a5110300200005,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
23,2252,10a6110400203005,1095110400000001,结束时间,10a5110400200008,10a5110400200008,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
24,2253,10a6110400202009,1095110400000001,开始时间,10a5110400200008,10a5110400200008,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
25,2254,10a6110400201000,1095110400000001,发生时间,10a5110400200008,10a5110400200008,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
26,2259,10a6110500203008,1095110500000004,结束时间,10a511050020000b,10a511050020000b,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
27,2260,10a611050020200c,1095110500000004,开始时间,10a511050020000b,10a511050020000b,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
28,2261,10a6110500201003,1095110500000004,发生时间,10a511050020000b,10a511050020000b,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
29,2266,10a611060020300b,1095110600000007,结束时间,10a5110600200001,10a5110600200001,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
30,2267,10a6110600202002,1095110600000007,开始时间,10a5110600200001,10a5110600200001,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
31,2268,10a6110600201006,1095110600000007,发生时间,10a5110600200001,10a5110600200001,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
32,2273,10a6110700203001,109511070000000a,结束时间,10a5110700200004,10a5110700200004,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
33,2274,10a6110700202005,109511070000000a,开始时间,10a5110700200004,10a5110700200004,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
34,2275,10a6110700201009,109511070000000a,发生时间,10a5110700200004,10a5110700200004,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
35,2280,10a6110800203004,1095110800000000,结束时间,10a5110800200007,10a5110800200007,,1,5,system_user,2024-01-16 18:32:55,system_user,2025-03-06 14:42:38,1,0
